Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_7b G150 Rich2 0.0 0.0
Option_8a G150 Rich2 0.0 0.0
Option_8b G150 Rich2 0.0 0.0
Option_1a P127 Rich2 0.0 0.0
Option_1b P127 Rich2 0.0 0.0
Option_2a P127 Rich2 0.0 0.0
Option_2b P127 Rich2 0.0 0.0
Option_3a P127 Rich2 0.0 0.0
Option_3b P127 Rich2 0.0 0.0
Option_4a P127 Rich2 0.0 0.0
Option_4b P127 Rich2 0.0 0.0
Option_5a P127 Rich2 0.0 0.0
Option_5b P127 Rich2 0.0 0.0
Option_6a P127 Rich2 0.0 0.0
Option_6b P127 Rich2 0.0 0.0
Option_7a P127 Rich2 0.0 0.0
Option_7b P127 Rich2 0.0 0.0
Option_8a P127 Rich2 0.0 0.0
Option_8b P127 Rich2 0.0 0.0
Option_1a G150 Lim3_grism_targets 0.0 0.0
Option_1b G150 Lim3_grism_targets 0.0 0.0
Option_2a G150 Lim3_grism_targets 0.0 0.0
Option_2b G150 Lim3_grism_targets 0.0 0.0
Option_3a G150 Lim3_grism_targets 0.0 0.0
Option_3b G150 Lim3_grism_targets 0.0 0.0
Option_4a G150 Lim3_grism_targets 0.0 0.0
Option_4b G150 Lim3_grism_targets 0.0 0.0
Option_5a G150 Lim3_grism_targets 0.0 0.0
Option_5b G150 Lim3_grism_targets 0.0 0.0
Option_6a G150 Lim3_grism_targets 0.0 0.0
Option_6b G150 Lim3_grism_targets 0.0 0.0
Option_7a G150 Lim3_grism_targets 0.0 0.0
Option_7b G150 Lim3_grism_targets 0.0 0.0
Option_8a G150 Lim3_grism_targets 0.0 0.0
Option_8b G150 Lim3_grism_targets 0.0 0.0
Option_1a F062 Bonito 0.0 0.0
Option_1b F062 Bonito 0.0 0.0
Option_2a F062 Bonito 0.0 0.0
Option_2b F062 Bonito 0.0 0.0
Option_3a F062 Bonito 0.0 0.0
Option_3b F062 Bonito 0.0 0.0
Option_4a F062 Bonito 0.0 0.0
Option_4b F062 Bonito 0.0 0.0
Option_5a F062 Bonito 0.0 0.0
Option_5b F062 Bonito 0.0 0.0
Option_6a F062 Bonito 0.0 0.0
Option_6b F062 Bonito 0.0 0.0
Option_7a F062 Bonito 0.0 0.0
Option_7b F062 Bonito 0.0 0.0
Option_8a F062 Bonito 0.0 0.0
Option_8b F062 Bonito 0.0 0.0
