Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
time_domain F158 Kuhn SP42 4.9826187717265356 4.9826187717265356
wide_area F184 Kuhn SP42 7.184241019698725 7.184241019698725
deep_spec F184 Kuhn SP42 0.0 0.0
time_domain F184 Kuhn SP42 4.9826187717265356 4.9826187717265356
wide_area F213 Kuhn SP42 7.184241019698725 7.184241019698725
deep_spec F213 Kuhn SP42 0.0 0.0
time_domain F213 Kuhn SP42 4.9826187717265356 4.9826187717265356
wide_area F213 Craig1 SP40 70.58823529411765 70.58823529411765
deep_spec F213 Craig1 SP40 6.722689075630252 6.722689075630252
time_domain F213 Craig1 SP40 0.0 0.0
wide_area F184 Anderson SP10 63.01332901624305 63.01332901624305
deep_spec F184 Anderson SP10 0.9335707732987966 0.9335707732987966
time_domain F184 Anderson SP10 1.9211051751119745 1.9211051751119745
wide_area G150 Anderson SP10 0.0 0.0
deep_spec G150 Anderson SP10 0.9335707732987966 0.9335707732987966
time_domain G150 Anderson SP10 0.0 0.0
wide_area G150 Pal SP50 0.0 0.0
deep_spec G150 Pal SP50 0.0 0.0
time_domain G150 Pal SP50 0.0 0.0
wide_area F158 Freeman SP13 24.646128226477934 24.646128226477934
deep_spec F158 Freeman SP13 0.0 0.0
time_domain F158 Freeman SP13 4.8293089092422985 4.8293089092422985
wide_area F213 Freeman SP13 24.646128226477934 24.646128226477934
deep_spec F213 Freeman SP13 0.0 0.0
time_domain F213 Freeman SP13 4.8293089092422985 4.8293089092422985
wide_area F213 Pardo NONE 0.0 0.0
deep_spec F213 Pardo NONE 0.0 0.0
time_domain F213 Pardo NONE 0.0 0.0
wide_area F087 Kruszynska WP07 0.0 0.0
deep_spec F087 Kruszynska WP07 0.09038964392936695 0.09038964392936695
time_domain F087 Kruszynska WP07 0.24534331923685312 0.24534331923685312
wide_area F213 Kruszynska WP07 4.154695419181974 4.154695419181974
deep_spec F213 Kruszynska WP07 0.13558446589405043 0.13558446589405043
time_domain F213 Kruszynska WP07 0.6972915388836879 0.6972915388836879
wide_area F213 VVV_keyholes_2nd_priority SP35 91.97080291970804 92.5925925925926
deep_spec F213 VVV_keyholes_2nd_priority SP35 8.02919708029197 7.4074074074074066
time_domain F213 VVV_keyholes_2nd_priority SP35 12.043795620437956 15.488215488215488
wide_area F087 Bachelet SP14 0.0 0.0
deep_spec F087 Bachelet SP14 0.0 0.0
time_domain F087 Bachelet SP14 0.0 0.0
wide_area F158 Bachelet SP14 0.0 0.0
deep_spec F158 Bachelet SP14 0.0 0.0
time_domain F158 Bachelet SP14 0.0 0.0
wide_area F213 Bachelet SP14 0.0 0.0
deep_spec F213 Bachelet SP14 0.0 0.0
time_domain F213 Bachelet SP14 0.0 0.0
wide_area F213 VVV_keyholes_1st_priority SP35 83.20610687022901 83.20610687022901
deep_spec F213 VVV_keyholes_1st_priority SP35 16.030534351145036 16.030534351145036
time_domain F213 VVV_keyholes_1st_priority SP35 3.816793893129771 3.816793893129771
wide_area F129 Lim2 SP25 7.471779251030282 5.8757221361138505
deep_spec F129 Lim2 SP25 0.2418921340261602 0.19022122023390164
time_domain F129 Lim2 SP25 1.3348862211073285 1.0497393264759758
wide_area F158 Lim2 SP25 7.471779251030282 5.8757221361138505
deep_spec F158 Lim2 SP25 0.2418921340261602 0.19022122023390164
time_domain F158 Lim2 SP25 1.3348862211073285 1.0497393264759758
wide_area F213 Lim2 SP25 7.471779251030282 5.8757221361138505
deep_spec F213 Lim2 SP25 0.2418921340261602 0.19022122023390164
time_domain F213 Lim2 SP25 1.3348862211073285 1.0497393264759758
wide_area F087 Carey1 SP28 0.0 0.0
deep_spec F087 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F087 Carey1 SP28 3.445284421861445 4.878904878904879
wide_area F106 Carey1 SP28 0.0 0.0
deep_spec F106 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F106 Carey1 SP28 3.445284421861445 4.878904878904879
wide_area F129 Carey1 SP28 91.0149956624117 91.51749151749152
deep_spec F129 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F129 Carey1 SP28 3.445284421861445 4.878904878904879
wide_area F158 Carey1 SP28 91.0149956624117 91.51749151749152
deep_spec F158 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F158 Carey1 SP28 3.445284421861445 4.878904878904879
wide_area F184 Carey1 SP28 76.45309208080307 77.76997776997777
deep_spec F184 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F184 Carey1 SP28 3.445284421861445 4.878904878904879
wide_area F213 Carey1 SP28 91.0149956624117 91.51749151749152
deep_spec F213 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F213 Carey1 SP28 3.445284421861445 4.878904878904879
